PlasticType,wavelength1,wavelength2,wavelength3,wavelength4,wavelength5,wavelength6,wavelength7,wavelength8,wavelength9,wavelength10,wavelength11,wavelength12,wavelength13,wavelength14,ID
5,23793,390936,614626,288921,351446,245359,309509,138930,2485.444444,-1252.711538,625.25,-707.2466667,641.5,-1705.79,2
5,24117,391749,613943,287484,349586,245298,309747,138842,2468.822222,-1255.611538,621.02,-695.2533333,644.49,-1709.05,2
5,24502,395326,617383,288126,350918,246640,311894,139808,2467.3,-1266.373077,627.92,-695.1866667,652.54,-1720.86,2
5,22981,358138,551680,234425,270300,169265,203528,88154,2150.466667,-1220.211538,358.75,-673.5666667,342.63,-1153.74,12
5,23697,363432,558976,236985,273605,170254,203947,88042,2172.711111,-1238.426923,366.2,-689.0066667,336.93,-1159.05,12
5,23589,361432,556829,236553,273054,169871,203421,87704,2171.077778,-1231.830769,365.01,-687.8866667,335.5,-1157.17,12
5,25185,444333,747054,373567,489732,364095,461219,209378,3363.566667,-1436.488462,1161.65,-837.58,971.24,-2518.41,49
5,25979,449212,752940,375309,492386,366537,463821,210046,3374.755556,-1452.426923,1170.77,-838.9933333,972.84,-2537.75,49
5,25805,449538,753214,375193,492578,366374,464465,210216,3374.177778,-1453.926923,1173.85,-841.36,980.91,-2542.49,49
5,27887,438216,689076,308628,382111,258275,320247,141896,2787.333333,-1463.261538,734.83,-825.5733333,619.72,-1783.51,52
5,28405,439577,689460,308413,382050,258373,320085,141908,2776.477778,-1465.565385,736.37,-824.5133333,617.12,-1781.77,52
5,28235,440077,689136,308073,381231,257707,319547,141324,2767.322222,-1465.626923,731.58,-823.4933333,618.4,-1782.23,52
1,8607,189848,308254,164012,195420,127836,155556,56262,1315.622222,-554.7769231,314.08,-450.56,277.2,-992.94,109
1,8939,190382,308238,164123,195514,127653,155153,56326,1309.511111,-554.2884615,313.91,-452.4066667,275,-988.27,109
1,9079,190718,307878,163838,195447,127578,154793,56116,1301.777778,-554,316.09,-452.46,272.15,-986.77,109
1,16027,302682,495543,258025,318556,203326,243599,90693,2142.9,-913.5307692,605.31,-768.2,402.73,-1529.06,119
1,16379,304100,496963,258601,319454,203826,243799,90840,2142.922222,-916.7769231,608.53,-770.8533333,399.73,-1529.59,119
1,16553,304633,497159,258711,319232,203747,243699,90742,2139.177778,-917.1076923,605.21,-769.9,399.52,-1529.57,119
2,24403,419476,676720,323303,412598,295247,378714,179918,2858.266667,-1359.296154,892.95,-782.34,834.67,-1987.96,202
2,24681,420765,677501,323594,412974,295489,378881,179786,2852.622222,-1361.180769,893.8,-783.2333333,833.92,-1990.95,202
2,24993,422129,678268,324097,413366,295541,379281,180076,2845.988889,-1362.196154,892.69,-785.5,837.4,-1992.05,202
2,31068,518300,853298,409338,529026,386309,492759,236694,3722.2,-1707.538462,1196.88,-951.4466667,1064.5,-2560.65,206
2,31544,522010,858358,411271,530285,386725,492717,236976,3737.2,-1719.565385,1190.14,-957.0666667,1059.92,-2557.41,206
2,31541,522941,858954,411833,531146,386853,492845,237225,3733.477778,-1719.696154,1193.13,-961.9533333,1059.92,-2556.2,206
2,23782,374630,577936,258082,311477,203607,250114,115334,2258.955556,-1230.207692,533.95,-719.1333333,465.07,-1347.8,210
2,23980,377896,579760,258358,311344,204101,252095,115448,2242.933333,-1236.161538,529.86,-714.9533333,479.94,-1366.47,210
2,23989,378588,579744,257983,310620,203964,252645,115370,2235.066667,-1237.542308,526.37,-711.04,486.81,-1372.75,210
2,7214,141652,209100,94111,119400,79573,92456,38716,749.4222222,-442.2653846,252.89,-265.5133333,128.83,-537.4,231
2,7244,141591,208220,93726,118932,79749,92811,38735,740.3222222,-440.3615385,252.06,-261.22,130.62,-540.76,231
2,7369,141820,207897,93599,118605,80242,93831,38980,734.1888889,-439.6076923,250.06,-255.7533333,135.89,-548.51,231
6,21760,352794,538811,235932,268582,199605,211259,90082,2066.855556,-1164.919231,326.5,-459.8466667,116.54,-1211.77,302
6,21940,352492,537620,236633,268510,197993,209227,89522,2056.977778,-1157.642308,318.77,-470.1133333,112.34,-1197.05,302
6,22109,352983,538226,236675,268488,197644,208309,89387,2058.255556,-1159.811538,318.13,-472.2933333,106.65,-1189.22,302
6,25371,395492,629180,302258,348608,235083,263287,114466,2596.533333,-1257.392308,463.5,-756.8333333,282.04,-1488.21,303
6,25617,398046,629044,302183,347688,233915,265492,114952,2566.644444,-1257.157692,455.05,-758.4866667,315.77,-1505.4,303
6,25911,398591,626438,301042,345990,232319,265128,114411,2531.633333,-1251.523077,449.48,-757.8066667,328.09,-1507.17,303
6,24339,391190,620276,283074,328804,218747,252883,104411,2545.4,-1296.930769,457.3,-733.7133333,341.36,-1484.72,305
6,24561,391390,617602,280662,325887,215949,249587,102790,2513.466667,-1295.923077,452.25,-732.92,336.38,-1467.97,305
6,24868,393539,619434,280246,325349,215525,248631,102292,2509.944444,-1304.569231,451.03,-732.16,331.06,-1463.39,305
6,27522,457504,701798,351944,419072,324396,419586,181089,2714.377778,-1345.592308,671.28,-631.1733333,951.9,-2384.97,306
6,27929,461292,706266,354153,421541,325821,420863,181814,2721.933333,-1354.280769,673.88,-638.1333333,950.42,-2390.49,306
6,28208,463676,710020,355489,423747,327619,423344,182218,2737.155556,-1363.580769,682.58,-640.8533333,957.25,-2411.26,306